run_index,scenario_seed,total_agvs,north_agvs,south_agvs,west_agvs,east_agvs,spawn_plan_json,goal_plan_json
47,30047,16,4,3,5,4,"{""EAST"": [0, 0, 5, 7], ""NORTH"": [1, 3, 5, 5], ""SOUTH"": [1, 2, 6], ""WEST"": [1, 1, 4, 5, 6]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
48,30048,16,3,6,4,3,"{""EAST"": [3, 3, 6], ""NORTH"": [0, 6, 7], ""SOUTH"": [2, 2, 4, 6, 7, 7], ""WEST"": [0, 1, 2, 5]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
49,30049,16,4,4,5,3,"{""EAST"": [6, 6, 7], ""NORTH"": [1, 4, 6, 8], ""SOUTH"": [1, 6, 6, 7], ""WEST"": [0, 3, 5, 6, 8]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
50,30050,16,3,5,3,5,"{""EAST"": [4, 4, 5, 5, 7], ""NORTH"": [0, 1, 6], ""SOUTH"": [0, 2, 4, 5, 8], ""WEST"": [3, 5, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
51,30051,16,4,5,5,2,"{""EAST"": [7, 7], ""NORTH"": [0, 1, 2, 6], ""SOUTH"": [2, 3, 5, 6, 7], ""WEST"": [1, 3, 4, 6, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
52,30052,16,2,6,6,2,"{""EAST"": [1, 3], ""NORTH"": [1, 3], ""SOUTH"": [2, 4, 5, 6, 6, 7], ""WEST"": [4, 4, 5, 5, 7, 8]}","{""EAST"": [""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
53,30053,16,5,4,3,4,"{""EAST"": [5, 8, 8, 8], ""NORTH"": [0, 2, 3, 3, 4], ""SOUTH"": [4, 5, 7, 8], ""WEST"": [1, 4, 4]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
54,30054,16,5,4,4,3,"{""EAST"": [0, 4, 8], ""NORTH"": [2, 2, 4, 5, 6], ""SOUTH"": [1, 3, 6, 8], ""WEST"": [1, 1, 4, 5]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
55,30055,16,6,4,3,3,"{""EAST"": [2, 6, 7], ""NORTH"": [0, 4, 6, 6, 6, 8], ""SOUTH"": [2, 3, 5, 8], ""WEST"": [1, 4, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT""]}"
56,30056,16,5,2,6,3,"{""EAST"": [0, 3, 8], ""NORTH"": [2, 2, 5, 6, 8], ""SOUTH"": [2, 5], ""WEST"": [0, 4, 5, 5, 6, 6]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
57,30057,16,2,3,6,5,"{""EAST"": [0, 5, 6, 7, 7], ""NORTH"": [3, 4], ""SOUTH"": [1, 3, 8], ""WEST"": [0, 1, 1, 3, 5, 7]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
58,30058,16,6,5,2,3,"{""EAST"": [0, 5, 5], ""NORTH"": [0, 2, 4, 4, 7, 8], ""SOUTH"": [0, 2, 4, 4, 5], ""WEST"": [2, 7]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT""]}"
59,30059,16,2,4,4,6,"{""EAST"": [1, 2, 2, 4, 7, 8], ""NORTH"": [4, 8], ""SOUTH"": [0, 4, 5, 6], ""WEST"": [0, 3, 3, 7]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
60,30060,16,6,2,5,3,"{""EAST"": [1, 2, 4], ""NORTH"": [1, 1, 2, 6, 6, 7], ""SOUTH"": [2, 6], ""WEST"": [0, 1, 4, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
61,30061,16,3,4,3,6,"{""EAST"": [0, 1, 6, 7, 7, 8], ""NORTH"": [3, 4, 6], ""SOUTH"": [2, 4, 6, 6], ""WEST"": [0, 0, 5]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
62,30062,16,2,6,5,3,"{""EAST"": [1, 3, 6], ""NORTH"": [1, 2], ""SOUTH"": [0, 2, 3, 4, 8, 8], ""WEST"": [0, 0, 5, 6, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
63,30063,16,5,5,3,3,"{""EAST"": [0, 0, 2], ""NORTH"": [1, 4, 5, 6, 8], ""SOUTH"": [0, 4, 4, 8, 8], ""WEST"": [0, 1, 3]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
64,30064,16,4,4,4,4,"{""EAST"": [0, 3, 3, 4], ""NORTH"": [2, 4, 6, 8], ""SOUTH"": [0, 4, 6, 8], ""WEST"": [0, 5, 6, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
65,30065,16,5,6,2,3,"{""EAST"": [1, 2, 7], ""NORTH"": [0, 2, 3, 5, 8], ""SOUTH"": [0, 2, 5, 5, 6, 7], ""WEST"": [1, 4]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT""]}"
66,30066,16,4,5,4,3,"{""EAST"": [1, 7, 8], ""NORTH"": [1, 3, 5, 8], ""SOUTH"": [2, 3, 5, 5, 5], ""WEST"": [0, 1, 2, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
67,30067,16,4,5,4,3,"{""EAST"": [0, 2, 4], ""NORTH"": [2, 2, 5, 5], ""SOUTH"": [0, 2, 3, 5, 7], ""WEST"": [3, 4, 7, 7]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
68,30068,16,5,5,3,3,"{""EAST"": [3, 4, 5], ""NORTH"": [1, 1, 6, 8, 8], ""SOUTH"": [0, 1, 2, 4, 8], ""WEST"": [2, 2, 5]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT""]}"
69,30069,16,4,4,2,6,"{""EAST"": [0, 0, 2, 4, 5, 6], ""NORTH"": [0, 3, 5, 7], ""SOUTH"": [2, 4, 4, 4], ""WEST"": [3, 5]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT""]}"
70,30070,16,5,2,4,5,"{""EAST"": [0, 0, 4, 6, 8], ""NORTH"": [0, 1, 1, 7, 7], ""SOUTH"": [4, 8], ""WEST"": [6, 6, 7, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
71,30071,16,3,4,6,3,"{""EAST"": [7, 7, 7], ""NORTH"": [6, 7, 8], ""SOUTH"": [3, 4, 6, 8], ""WEST"": [0, 1, 3, 3, 5, 8]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
72,30072,16,4,4,4,4,"{""EAST"": [5, 6, 6, 6], ""NORTH"": [2, 4, 6, 7], ""SOUTH"": [1, 3, 7, 7], ""WEST"": [0, 3, 4, 5]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
73,30073,16,4,5,2,5,"{""EAST"": [1, 3, 3, 4, 6], ""NORTH"": [1, 5, 5, 6], ""SOUTH"": [0, 0, 1, 1, 3], ""WEST"": [4, 6]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT""]}"
74,30074,16,2,6,4,4,"{""EAST"": [2, 4, 4, 8], ""NORTH"": [1, 6], ""SOUTH"": [0, 5, 5, 5, 7, 7], ""WEST"": [1, 1, 4, 7]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
75,30075,16,5,4,3,4,"{""EAST"": [0, 1, 2, 7], ""NORTH"": [0, 0, 3, 5, 5], ""SOUTH"": [2, 4, 5, 8], ""WEST"": [1, 2, 7]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
76,30076,16,4,3,4,5,"{""EAST"": [2, 2, 4, 5, 8], ""NORTH"": [1, 2, 4, 4], ""SOUTH"": [0, 0, 7], ""WEST"": [3, 4, 5, 7]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
77,30077,16,5,3,4,4,"{""EAST"": [1, 3, 5, 6], ""NORTH"": [1, 3, 4, 6, 8], ""SOUTH"": [0, 3, 8], ""WEST"": [0, 0, 6, 7]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
78,30078,16,5,3,4,4,"{""EAST"": [1, 4, 5, 7], ""NORTH"": [0, 0, 2, 8, 8], ""SOUTH"": [0, 2, 5], ""WEST"": [2, 4, 5, 6]}","{""EAST"": [""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""]}"
79,30079,16,5,4,4,3,"{""EAST"": [6, 7, 8], ""NORTH"": [2, 3, 5, 7, 8], ""SOUTH"": [0, 1, 4, 7], ""WEST"": [0, 4, 4, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""S_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""E_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
80,30080,16,3,4,5,4,"{""EAST"": [2, 7, 7, 8], ""NORTH"": [1, 1, 3], ""SOUTH"": [2, 6, 6, 7], ""WEST"": [0, 4, 5, 5, 7]}","{""EAST"": [""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
81,30081,16,4,5,3,4,"{""EAST"": [3, 3, 5, 6], ""NORTH"": [1, 2, 3, 8], ""SOUTH"": [0, 3, 5, 7, 7], ""WEST"": [1, 3, 6]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
82,30082,16,3,3,4,6,"{""EAST"": [1, 3, 5, 7, 7, 8], ""NORTH"": [1, 6, 8], ""SOUTH"": [3, 4, 7], ""WEST"": [3, 4, 6, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT"", ""W_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
83,30083,16,4,4,4,4,"{""EAST"": [2, 4, 8, 8], ""NORTH"": [1, 2, 3, 4], ""SOUTH"": [6, 7, 7, 8], ""WEST"": [0, 1, 2, 5]}","{""EAST"": [""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""W_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
84,30084,16,4,4,4,4,"{""EAST"": [2, 4, 5, 6], ""NORTH"": [0, 5, 6, 6], ""SOUTH"": [1, 1, 3, 7], ""WEST"": [2, 3, 4, 7]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
85,30085,16,2,4,6,4,"{""EAST"": [2, 5, 7, 8], ""NORTH"": [5, 8], ""SOUTH"": [0, 6, 6, 7], ""WEST"": [2, 2, 3, 4, 7, 7]}","{""EAST"": [""S_EXIT"", ""S_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
86,30086,16,3,3,4,6,"{""EAST"": [1, 2, 2, 4, 5, 6], ""NORTH"": [2, 3, 5], ""SOUTH"": [1, 4, 7], ""WEST"": [2, 3, 3, 6]}","{""EAST"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""N_EXIT"", ""E_EXIT"", ""W_EXIT""], ""WEST"": [""E_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
87,30087,16,3,2,5,6,"{""EAST"": [2, 2, 2, 4, 6, 7], ""NORTH"": [0, 4, 8], ""SOUTH"": [2, 5], ""WEST"": [2, 5, 6, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""W_EXIT"", ""W_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
88,30088,16,5,2,6,3,"{""EAST"": [2, 3, 4], ""NORTH"": [3, 4, 4, 5, 8], ""SOUTH"": [3, 8], ""WEST"": [0, 1, 1, 5, 7, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT""], ""NORTH"": [""S_EXIT"", ""W_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT"", ""S_EXIT""]}"
89,30089,16,2,4,4,6,"{""EAST"": [0, 0, 2, 4, 7, 8], ""NORTH"": [5, 7], ""SOUTH"": [1, 2, 4, 4], ""WEST"": [1, 1, 7, 8]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT"", ""N_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""E_EXIT""], ""SOUTH"": [""W_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""WEST"": [""S_EXIT"", ""N_EXIT"", ""N_EXIT"", ""E_EXIT""]}"
90,30090,16,4,4,3,5,"{""EAST"": [0, 4, 4, 5, 7], ""NORTH"": [0, 2, 2, 8], ""SOUTH"": [6, 6, 7, 8], ""WEST"": [1, 1, 5]}","{""EAST"": [""S_EXIT"", ""N_EXIT"", ""W_EXIT"", ""N_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""S_EXIT"", ""W_EXIT"", ""S_EXIT""], ""SOUTH"": [""N_EXIT"", ""N_EXIT"", ""W_EXIT"", ""E_EXIT""], ""WEST"": [""S_EXIT"", ""S_EXIT"", ""E_EXIT""]}"
91,30091,16,2,6,5,3,"{""EAST"": [3, 6, 7], ""NORTH"": [1, 7], ""SOUTH"": [1, 2, 3, 4, 6, 8], ""WEST"": [3, 3, 7, 8, 8]}","{""EAST"": [""S_EXIT"", ""W_EXIT"", ""N_EXIT""], ""NORTH"": [""E_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""E_EXIT"", ""E_EXIT"", ""W_EXIT"", ""N_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT""]}"
92,30092,16,2,5,5,4,"{""EAST"": [0, 5, 7, 8], ""NORTH"": [5, 8], ""SOUTH"": [1, 1, 3, 3, 6], ""WEST"": [0, 1, 3, 3, 8]}","{""EAST"": [""W_EXIT"", ""N_EXIT"", ""W_EXIT"", ""S_EXIT""], ""NORTH"": [""S_EXIT"", ""S_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT"", ""N_EXIT""], ""WEST"": [""N_EXIT"", ""E_EXIT"", ""E_EXIT"", ""S_EXIT"", ""N_EXIT""]}"
93,30093,16,2,4,6,4,"{""EAST"": [3, 5, 5, 7], ""NORTH"": [4, 5], ""SOUTH"": [2, 2, 3, 5], ""WEST"": [0, 2, 6, 6, 6, 8]}","{""EAST"": [""N_EXIT"", ""N_EXIT"", ""S_EXIT"", ""N_EXIT""], ""NORTH"": [""W_EXIT"", ""E_EXIT""], ""SOUTH"": [""E_EXIT"", ""N_EXIT"", ""W_EXIT"", ""W_EXIT""], ""WEST"": [""N_EXIT"", ""S_EXIT"", ""E_EXIT"", ""N_EXIT"", ""E_EXIT"", ""N_EXIT""]}"
